epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5202,5.62211,8.16625,2.94992,0.00596,0.22014,0.00969,0.0035,4.86276,7.94253,2.4235,0.00032867,0.00032867,0.00032867
2,28.8992,5.107,6.87343,2.5442,0.00579,0.1494,0.03117,0.00811,5.42915,7.3239,2.8076,0.000638384,0.000638384,0.000638384
3,39.3568,5.24425,5.23759,2.48619,0.00239,0.10625,0.00599,0.00114,8.68779,6.63638,5.23783,0.000914146,0.000914146,0.000914146
4,49.97,5.25732,4.39858,2.44194,0.59354,0.1085,0.11924,0.03284,5.65924,4.71971,2.68512,0.00115595,0.00115595,0.00115595
5,59.336,5.24181,3.8156,2.45669,0.5118,0.19725,0.14139,0.03932,5.6278,4.47287,2.64826,0.00114606,0.00114606,0.00114606
6,68.8891,4.89746,3.53147,2.37962,0.57919,0.22453,0.1839,0.0609,5.08763,4.023,2.55394,0.00107532,0.00107532,0.00107532
7,79.498,5.01027,3.40935,2.37555,0.59079,0.26425,0.19458,0.0636,5.09177,4.02382,2.50139,0.00100459,0.00100459,0.00100459
8,91.7237,4.75777,3.27666,2.34351,0.59806,0.2454,0.20496,0.07097,4.81616,3.40029,2.36838,0.000933851,0.000933851,0.000933851
9,108.524,4.63566,3.21165,2.32601,0.59192,0.27777,0.22805,0.07247,4.8312,3.28963,2.41353,0.000863116,0.000863116,0.000863116
10,121.156,4.62859,3.10988,2.3118,0.65123,0.25471,0.24576,0.08286,5.03855,3.36257,2.4511,0.00079238,0.00079238,0.00079238
11,133.251,4.31491,3.06091,2.28835,0.66872,0.21934,0.21056,0.06545,5.00392,3.30969,2.37128,0.000721645,0.000721645,0.000721645
12,145.317,4.19865,2.86597,2.24034,0.68114,0.27057,0.29073,0.10752,4.42797,2.98609,2.21544,0.000650909,0.000650909,0.000650909
13,156.854,4.00053,2.71002,2.189,0.71076,0.28814,0.30879,0.11311,4.34759,2.89819,2.22498,0.000580174,0.000580174,0.000580174
14,166.443,3.98154,2.66623,2.17811,0.69919,0.27052,0.30381,0.10712,4.54765,2.99046,2.23291,0.000509438,0.000509438,0.000509438
15,177.009,3.91416,2.59009,2.16174,0.71013,0.28834,0.30683,0.11212,4.57438,2.91993,2.24574,0.000438703,0.000438703,0.000438703
16,186.979,3.90345,2.56925,2.15896,0.71056,0.32534,0.34077,0.12947,4.26873,2.81598,2.19581,0.000367967,0.000367967,0.000367967
17,196.609,3.82017,2.5223,2.13944,0.71298,0.32153,0.33482,0.12579,4.38821,2.76445,2.20737,0.000297232,0.000297232,0.000297232
18,205.784,3.8412,2.50713,2.13759,0.71621,0.30746,0.32564,0.11393,4.49266,2.83811,2.19201,0.000226497,0.000226497,0.000226497
19,214.839,3.80256,2.457,2.10066,0.72769,0.32871,0.35697,0.14307,4.16221,2.71126,2.15676,0.000155761,0.000155761,0.000155761
20,223.609,3.71979,2.4469,2.11819,0.73771,0.33673,0.36468,0.14643,4.18245,2.69169,2.15904,8.50255e-05,8.50255e-05,8.50255e-05
